,sym1,sym2
1288,91,744
1289,91,39
1290,91,95
1291,91,46
1292,91,224
1293,91,846
1294,91,63
1295,91,724
1296,91,645
1297,91,532
1298,91,741
1299,91,642
1300,460,296
1301,460,55
1302,460,64
1303,460,744
1304,460,95
1305,460,46
1306,460,224
1307,460,63
1308,460,557
1309,460,532
1310,460,741
1311,850,182
1312,850,277
1313,850,82
1314,850,493
1315,850,296
1316,850,694
1317,850,234
1318,850,273
1319,850,832
1320,850,679
1321,850,1032
1322,850,4
1323,850,55
1324,850,288
1325,850,931
1326,850,744
1327,850,696
1328,850,833
1329,850,698
1330,850,95
1331,850,346
1332,850,240
1333,850,166
1334,850,765
1335,850,695
1336,850,46
1337,850,224
1338,850,494
1339,850,63
1340,850,902
1341,850,734
1342,850,289
1343,850,678
1344,850,720
1345,850,555
1346,850,699
1347,850,1004
1348,850,181
1349,850,672
1350,850,33
1351,850,928
1352,850,845
1353,850,532
1354,850,741
1355,850,492
1356,850,876
1357,850,997
1358,82,615
1359,82,364
1360,82,182
1361,82,81
1362,82,789
1363,82,786
1364,82,277
1365,82,1049
1366,82,795
1367,82,131
1368,82,850
1369,82,114
1370,82,305
1371,82,371
1372,82,192
1373,82,544
1374,82,505
1375,82,797
1376,82,620
1377,82,428
1378,82,179
1379,82,231
1380,82,493
1381,82,12
1382,82,296
1383,82,953
1384,82,123
1385,82,220
1386,82,147
1387,82,75
1388,82,226
1389,82,782
1390,82,887
1391,82,282
1392,82,909
1393,82,238
1394,82,694
1395,82,591
1396,82,58
1397,82,215
1398,82,1000
1399,82,612
1400,82,234
1401,82,955
1402,82,235
1403,82,523
1404,82,592
1405,82,958
1406,82,589
1407,82,435
1408,82,273
1409,82,794
1410,82,984
1411,82,832
1412,82,644
1413,82,73
1414,82,848
1415,82,51
1416,82,211
1417,82,1032
1418,82,87
1419,82,774
1420,82,514
1421,82,348
1422,82,800
1423,82,574
1424,82,852
1425,82,300
1426,82,303
1427,82,957
1428,82,144
1429,82,594
1430,82,65
1431,82,292
1432,82,55
1433,82,381
1434,82,954
1435,82,935
1436,82,628
1437,82,64
1438,82,893
1439,82,288
1440,82,931
1441,82,1038
1442,82,744
1443,82,267
1444,82,39
1445,82,80
1446,82,731
1447,82,216
1448,82,573
1449,82,655
1450,82,696
1451,82,653
1452,82,340
1453,82,440
1454,82,833
1455,82,749
1456,82,149
1457,82,698
1458,82,95
1459,82,454
1460,82,346
1461,82,206
1462,82,322
1463,82,240
1464,82,166
1465,82,243
1466,82,458
1467,82,588
1468,82,92
1469,82,566
1470,82,765
1471,82,695
1472,82,46
1473,82,295
1474,82,804
1475,82,667
1476,82,224
1477,82,1023
1478,82,799
1479,82,26
1480,82,983
1481,82,88
1482,82,494
1483,82,323
1484,82,258
1485,82,846
1486,82,775
1487,82,633
1488,82,63
1489,82,902
1490,82,973
1491,82,734
1492,82,85
1493,82,686
1494,82,511
1495,82,513
1496,82,883
1497,82,352
1498,82,603
1499,82,291
1500,82,557
1501,82,366
1502,82,616
1503,82,461
1504,82,289
1505,82,743
1506,82,368
1507,82,450
1508,82,357
1509,82,956
1510,82,720
1511,82,254
1512,82,245
1513,82,379
1514,82,555
1515,82,118
1516,82,269
1517,82,900
1518,82,950
1519,82,286
1520,82,436
1521,82,180
1522,82,525
1523,82,699
1524,82,824
1525,82,905
1526,82,246
1527,82,959
1528,82,360
1529,82,135
1530,82,668
1531,82,895
1532,82,645
1533,82,897
1534,82,672
1535,82,33
1536,82,1026
1537,82,500
1538,82,928
1539,82,952
1540,82,845
1541,82,504
1542,82,532
1543,82,689
1544,82,306
1545,82,741
1546,82,127
1547,82,24
1548,82,492
1549,82,154
1550,82,876
1551,82,152
1552,82,997
1553,82,930
1554,82,642
1555,82,321
1556,375,1005
1557,375,702
1558,375,313
1559,375,16
1560,375,45
1561,430,428
1562,430,188
1563,430,254
1564,770,361
1565,760,388
1566,760,530
1567,760,710
1568,760,296
1569,760,226
1570,760,54
1571,760,234
1572,760,592
1573,760,273
1574,760,774
1575,760,300
1576,760,292
1577,760,55
1578,760,288
1579,760,931
1580,760,744
1581,760,95
1582,760,750
1583,760,359
1584,760,588
1585,760,46
1586,760,664
1587,760,224
1588,760,775
1589,760,63
1590,760,973
1591,760,291
1592,760,289
1593,760,19
1594,760,624
1595,760,555
1596,760,950
1597,760,970
1598,760,897
1599,760,29
1600,760,928
1601,760,532
1602,760,741
1603,596,939
1604,596,15
1605,1063,296
1606,1063,318
1607,1063,453
1608,1063,55
1609,1063,744
1610,1063,225
1611,1063,751
1612,1063,753
1613,1063,95
1614,1063,46
1615,1063,224
1616,1063,63
1617,1063,532
1618,1063,741
1619,602,296
1620,602,909
1621,602,601
1622,602,55
1623,602,744
1624,602,202
1625,602,95
1626,602,46
1627,602,224
1628,602,63
1629,602,925
1630,602,532
1631,602,741
1632,736,182
1633,736,277
1634,736,816
1635,736,305
1636,736,530
1637,736,1033
1638,736,505
1639,736,493
1640,736,710
1641,736,296
1642,736,729
1643,736,226
1644,736,282
1645,736,694
1646,736,591
1647,736,612
1648,736,234
1649,736,404
1650,736,418
1651,736,776
1652,736,592
1653,736,589
1654,736,435
1655,736,273
1656,736,832
1657,736,863
1658,736,233
1659,736,51
1660,736,1032
1661,736,585
1662,736,87
1663,736,774
1664,736,348
1665,736,777
1666,736,574
1667,736,852
1668,736,971
1669,736,106
1670,736,990
1671,736,594
1672,736,200
1673,736,281
1674,736,55
1675,736,1039
1676,736,893
1677,736,288
1678,736,399
1679,736,309
1680,736,744
1681,736,27
1682,736,696
1683,736,340
1684,736,833
1685,736,951
1686,736,698
1687,736,95
1688,736,346
1689,736,503
1690,736,240
1691,736,166
1692,736,588
1693,736,92
1694,736,765
1695,736,695
1696,736,911
1697,736,46
1698,736,402
1699,736,224
1700,736,1034
1701,736,494
1702,736,323
1703,736,775
1704,736,63
1705,736,902
1706,736,973
1707,736,734
1708,736,511
1709,736,569
1710,736,603
1711,736,964
1712,736,660
1713,736,368
1714,736,19
1715,736,720
1716,736,721
1717,736,269
1718,736,950
1719,736,719
1720,736,708
1721,736,699
1722,736,970
1723,736,1041
1724,736,905
1725,736,766
1726,736,42
1727,736,895
1728,736,897
1729,736,672
1730,736,33
1731,736,845
1732,736,504
1733,736,532
1734,736,741
1735,736,205
1736,736,946
1737,736,1035
1738,736,70
1739,736,492
1740,736,876
1741,736,997
1742,736,321
1743,933,296
1744,933,730
1745,933,435
1746,933,848
1747,933,87
1748,933,852
1749,933,594
1750,933,55
1751,933,744
1752,933,149
1753,933,95
1754,933,46
1755,933,727
1756,933,224
1757,933,63
1758,933,662
1759,933,668
1760,933,532
1761,933,741
1762,933,154
1763,114,789
1764,114,786
1765,114,91
1766,114,82
1767,114,192
1768,114,505
1769,114,797
1770,114,296
1771,114,220
1772,114,147
1773,114,226
1774,114,909
1775,114,235
1776,114,435
1777,114,644
1778,114,87
1779,114,574
1780,114,852
1781,114,300
1782,114,594
1783,114,55
1784,114,893
1785,114,931
1786,114,744
1787,114,39
1788,114,149
1789,114,95
1790,114,1012
1791,114,243
1792,114,690
1793,114,242
1794,114,46
1795,114,224
1796,114,88
1797,114,846
1798,114,63
1799,114,511
1800,114,352
1801,114,366
1802,114,461
1803,114,289
1804,114,1015
1805,114,724
1806,114,555
1807,114,118
1808,114,950
1809,114,905
1810,114,762
1811,114,84
1812,114,668
1813,114,645
1814,114,897
1815,114,928
1816,114,532
1817,114,689
1818,114,741
1819,114,642
1820,583,615
1821,583,795
1822,583,296
